神策 ID,设备 ID,登录 ID,activity_user_type,app_first_login_time,channel_name,client_type,community_id
-5250082563699350454,16b1344526e1c6-0c7291c633ba3c-4d626c4b-230400-16b134452704d,8b3c5d7b6bd826d731bcf9916a58c51b,3.0,2019-06-26 21:37:43.000,,h5,wuhan
7499494091281690178,16b4944cbf13dc-0b042bf4aaa11f8-6071080a-304500-16b4944cbf2333,57ce39f0e7b84e0513fb7f5a8200762a,3.0,2019-06-12 10:08:10.000,,h5,chengdu
8345679432216143781,16b59909a801e-0696bdcc51de2a-22556b0c-280800-16b59909a82216,fc82166763abd80ae99c4a52ecedae51,4.0,2020-02-02 09:37:36.000,,,qingdao
-2256329803017863367,16b62dec0b4af-0e5dda4c6526c3-691c7475-308898-16b62dec0b571,978f79f902d60eb2153276b298c36ee8,1.0,2019-06-17 08:46:58.000,,h5,suzhou
-9082752573588684770,16b7cdfef8461-0812a993bfb20c-3045403d-269280-16b7cdfef8527a,0eb7338719a18bc22362a6c6350032b9,4.0,2019-06-22 09:53:00.000,,,
1499497105788651110,16b814af12091d-01fe7be691b155-413b5c1b-304704-16b814af121898,f0c0ad2393cf3f80e65b00aec17777c4,3.0,2019-06-25 16:32:19.000,,h5,guangzhou
-1211385422295574212,16b8e0716cc1f0-0317559785f6e88-705a0b27-304500-16b8e0716cd2e0,71c0bd75d495069b5f2f3375a5ab89e1,3.0,2019-06-27 04:30:24.000,,h5,suzhou
-5215425070055620201,16b90eb2c92575-06ce3ac85128b5-4e3e7266-304500-16b90eb2c93a13,9f0d51b04be63232b3f2c38c1eb4e32f,4.0,2019-06-26 07:16:01.000,,,
305987538629880941,16ba66deb39342-01f61cb906548d-705a0b27-250125-16ba66deb3a334,cd9dc01513f8d6547e899bad9a6ff64c,3.0,2019-06-30 20:07:08.000,,,shanghai
1585087810990811604,16bb00b352a14c-0614ac67f4afce8-15081409-370944-16bb00b352b142,9e412a6f629f61ed6af5994d9fb7c8b1,4.0,2019-09-30 09:28:56.000,,,guangzhou
-5897923778297394333,16c66bf89805bf-0d27b1e626125a-29150c4a-304500-16c66bf89814b4,8bb16382259ad31e1d6a5f3e544d6478,4.0,2019-08-08 00:24:02.000,,h5,wuhan
4317399170555517015,16c9926bc893da-0b9d46dfddbb1e-130d130b-250125-16c9926bc8a65d,978d410dd71c99fa0c6b979287a7e53f,4.0,2019-08-22 21:12:04.000,小3人团-职场抢跑，打造你的超强竞争力-H5-分享,,nanjing
-9013503978991267227,16cdaee5fbe58f-00a218c692cba4-34594872-921600-16cdaee5fc02b2,53bfca309519e6ac49caa0e4482d7147,4.0,2019-09-05 09:35:56.000,,,xian
1238276803247344493,16d04187fe949-096eb0f3b5da8f8-130d130b-370944-16d04187feac5b,b0904a66ba1dbda75d011c45b238be0f,,2019-09-06 09:46:20.000,研习社9月大促分销活动-H5-自然,,xian
-2198126908294704747,16d06ad5fd1a03-0e0c3ded2776368-6a4c2d6f-304500-16d06ad5fd28c6,21f7fb1ada59555d20fd386b474605c0,,2019-09-07 12:23:13.000,研习社9月大促分销活动-H5-自然,,shanghai
-5724378435362914632,16d10bb97a117d-0b3c090a2ac66a-157563b-230400-16d10bb97a3b1,23e95c8cb32748283c328337f2ece983,,2020-02-04 17:10:27.000,,,
2514793520317607197,16d8717e0ee191-0d5e1bb2e7a2a-2f4b4825-280800-16d8717e0ef1d,e82d0481d7949965f69af57e3dccd157,,2019-03-28 09:31:54.000,小程序-转发-分享,,
-1199983857555573147,16e06429ab41bf-045451ca0f793b-2f556504-273600-16e06429ab52f,a87bf68dcf87ea19617f1b430aef9559,,2019-11-22 08:55:27.000,,,
-1281451852786480192,16e128ea0338c-0f5ac7378ce707-57025a2c-259200-16e128ea03416,a52015374b12d4b38e9f1ebee14b5e55,,2020-01-29 21:04:11.000,小程序-分享抢课,,
2380350056482994876,16e5a3ced0a2-0c4666ce29ea6a-600b1c78-222080-16e5a3ced0b5f,3b55ae91d63e9eb7bc59fdbd47f80f5d,,2019-11-29 23:20:43.000,,,beijing
-3197924999312121426,16eb09bf08625d-080a962d4e418f8-6941206f-370944-16eb09bf087647,240c4d6920dcd0343649bdb92c4caee9,,2019-11-28 20:33:50.000,,,
4692261307106365145,16f0cf4339215e-0e3c16427cf2da-61125542-280800-16f0cf433933e,b758933a11001583ff47b3f83c9a1ec8,,2020-03-04 19:38:51.000,小程序-分享抢课,,
-9187218639514115732,17014142d4122a-00c2465ee3231e-53607829-250125-17014142d42177,9310e99368d67e7de2b4c351afaa0dfa,,2020-02-05 23:28:04.000,2020年1月研习社春季直播活动-分享,,
-2302820612052329629,17039445e85676-099698d5d2bb6d-231c2316-250125-17039445e8685f,38eff598a71e1bf9b752d17e3d18bdac,,2020-02-13 16:02:05.000,推广大使-H5-自然,,guangzhou
-8973378067982265006,17042e47e84eb-03c4ea68ecb983-704d2c08-280800-17042e47e8540,c890ff5e1ef3e08e9b93c6357d52e619,,2020-02-14 16:56:22.000,2020年2月微光卡-分享,,
357431532757010250,17067ff6a6d33-08523ab97373f3-231c2416-250125-17067ff6a6e2b7,1ffd8aa78c6df48b52fca918d112e2aa,,2020-02-22 10:27:12.000,,,
-7374994665553515791,170a02b9ec679-07053213a90ea5-44086104-280800-170a02b9ec730b,4fc8e188dfe4e67fe9901281f5fbdf08,,2020-03-03 19:35:28.000,2020年2月微光卡-分享,,
5741627043359271485,170a4e916081ef-083c12e6fe1bcb-5f607a2f-304704-170a4e916094b6,0dc67f1d160f6b15e6c7cf05b2901619,,2020-03-04 18:04:47.000,2020年1月研习社春季直播活动-分享,,
-1682999917965755084,170a4efdba2331-09793995c625058-3c176e50-304704-170a4efdba3a25,be0cf7644ce4989d9b2073b3a68899bb,,2020-03-04 17:58:40.000,创新训练营课表-自然,,
-9034905299858674977,170a5be91b8fb-087927c177f71a-5a5f223b-259200-170a5be91bb4c,f16904aecd66c37646ddde7f43081bf8,,2020-03-04 22:05:44.000,,,
4955563204743907031,170a5c831e6265-0531d2b47f8b39-540000a-280800-170a5c831e7c6,919e669327173f621383bf03c52196bf,,2020-03-04 21:45:42.000,,,
9118993044377751118,170a5cacd0d489-0e696703efea788-231f2416-250125-170a5cacd0ebd,1724d2a6d0c745f3641d24719b17775e,,2020-03-04 21:49:08.000,,,
2237660131077886898,1784171ec3cfc70de366d3946aad7862,1784171ec3cfc70de366d3946aad7862,1.0,2018-03-04 09:54:14.000,,,dalian
423844853001183756,17fa17d6f37798896ff55284826336ee,17fa17d6f37798896ff55284826336ee,2.0,2019-05-23 14:01:21.000,,h5,qingdao
1635274400404574354,1C2D7E8A-3CF5-4428-9E65-A8B348D195A3,ab0b691380164d214de7f0afbab9a69e,2.0,2019-02-20 21:53:09.000,,h5,beijing
2462413429699285834,1ba91c15aa2c4b623c7b17ef70088ba0,1ba91c15aa2c4b623c7b17ef70088ba0,2.0,2017-04-08 11:05:10.000,,h5,shenzhen
7438698085953252103,1d68932fa495f429,7e6d0eb0912559db05ae4999459c77c9,2.0,2018-11-21 22:32:05.000,,h5,shenzhen
-90084248541735854,1d926faebac4604e0c8561f5953c681d,1d926faebac4604e0c8561f5953c681d,1.0,2017-07-02 12:07:28.000,,h5,beijing
6288980066478779932,1f2af75b781e34a2dee21ddbad457c33,1f2af75b781e34a2dee21ddbad457c33,2.0,2018-01-08 20:59:29.000,,h5,guangzhou
-6314921038899564486,2032ec60f248f7bf,74f124cc211093c458cc264ca40db8c6,,2019-10-08 20:57:21.000,小程序-自然,,
-2040701183608341446,2447df2755065346e326e723e45d4698,2447df2755065346e326e723e45d4698,2.0,2018-05-08 17:22:44.000,,h5,wuhan
4278226562567463052,27f8ff8859813d86209a7a65ca09d487,27f8ff8859813d86209a7a65ca09d487,1.0,2018-07-14 19:57:33.000,,h5,nanning
